Pe,Qe,Pe_index,Qe_index,current,gradient_norm,stationary,accepted,radius_used,inside_direct_radius,iterations,stopped_reason,status,parent_Pe,parent_Qe,elapsed_seconds
0.1,1.0,0,0,0.00035150908238610777,1.9117442736767068e-05,False,True,1.5779758708555407,True,500,maximum iterations reached,accepted,,,4348.6037566661835
0.12589254117941673,1.0,1,0,0.0005806829110058695,1.8127622030363715e-05,False,True,1.4979333643932051,True,500,maximum iterations reached,accepted,0.1,1.0,4219.357166051865
0.15848931924611134,1.0,2,0,0.0009339602990296745,2.0052124169987125e-05,False,True,1.4216719808099652,True,500,maximum iterations reached,accepted,0.12589254117941673,1.0,14801.835161685944
0.19952623149688797,1.0,3,0,0.0014848219691609827,2.1997633772920696e-05,False,True,1.3813158388955777,True,500,maximum iterations reached,accepted,0.15848931924611134,1.0,4224.6283049583435
0.251188643150958,1.0,4,0,0.002355153638078729,1.7536872126704072e-05,False,True,1.356700788485812,True,500,maximum iterations reached,accepted,0.19952623149688797,1.0,41928.97851729393
0.31622776601683794,1.0,5,0,0.0037324390256194668,1.0112689647616405e-05,False,True,1.3369516646680586,True,500,maximum iterations reached,accepted,0.251188643150958,1.0,4448.640419960022
0.3981071705534973,1.0,6,0,0.0059128556341563,4.069025830466111e-06,False,True,1.313447706639411,True,500,maximum iterations reached,accepted,0.31622776601683794,1.0,20972.888501405716
0.5011872336272724,1.0,7,0,0.009363987222196887,9.974683095065624e-07,True,True,1.2906802012470655,True,494,objective tolerance,accepted,0.3981071705534973,1.0,21797.012886047363
0.6309573444801934,1.0,8,0,0.014822670812993289,9.924231598618034e-07,True,True,1.2600694765932188,True,340,objective tolerance,accepted,0.5011872336272724,1.0,3511.956568002701
0.7943282347242815,1.0,9,0,0.023446758576069968,9.878215907211552e-07,True,True,1.2279799083623724,True,232,objective tolerance,accepted,0.6309573444801934,1.0,38459.27048659325
1.0,1.0,10,0,0.037047067878713605,9.814936926901119e-07,True,True,1.18889776048733,True,157,objective tolerance,accepted,,,1286.7875423431396
1.2589254117941675,1.0,11,0,0.05843429270913443,8.356333915312419e-07,True,True,1.1314747979254376,True,75,objective tolerance,accepted,0.7943282347242815,1.0,857.2005980014801
1.584893192461114,1.0,12,0,0.09192035320923436,6.357594268107671e-07,True,True,1.069221428666114,True,35,objective tolerance,accepted,1.2589254117941675,1.0,787.7098333835602
1.9952623149688797,1.0,13,0,0.054201549828644974,0.15083404537048958,False,False,1.42322240421194,True,60,objective tolerance,rejected: outside radius or no improvement,1.584893192461114,1.0,645.8443009853363
2.511886431509581,1.0,14,0,0.08332405101947009,0.23342247211043127,False,False,1.2979733113971121,True,44,objective tolerance,rejected: outside radius or no improvement,1.9952623149688797,1.0,818.2311265468597
3.1622776601683795,1.0,15,0,0.12604357607110522,0.356684710480344,False,False,1.1973507369470928,True,144,objective tolerance,rejected: outside radius or no improvement,2.511886431509581,1.0,1556.7311260700226
3.981071705534973,1.0,16,0,0.18627502821794842,0.5351476996495993,False,False,1.068746148034052,True,61,objective tolerance,rejected: outside radius or no improvement,3.1622776601683795,1.0,1917.3620669841766
5.011872336272725,1.0,17,0,0.2666088570863682,0.7828751903172414,False,False,0.9141725436020047,False,500,maximum iterations reached,rejected: outside radius or no improvement,3.981071705534973,1.0,3014.2391493320465
6.309573444801933,1.0,18,0,0.36612290355613375,1.1081308396152056,False,False,0.8022958691991957,False,500,maximum iterations reached,rejected: outside radius or no improvement,5.011872336272725,1.0,3186.34964799881
7.943282347242818,1.0,19,0,0.4783656698619385,1.505524168637243,False,False,0.724665649709698,False,500,maximum iterations reached,rejected: outside radius or no improvement,6.309573444801933,1.0,3114.7453739643097
10.0,1.0,20,0,0.5908125755904632,1.9462432698122774,False,False,0.6747303711601265,False,110,Armijo line-search failure,rejected: outside radius or no improvement,7.943282347242818,1.0,4027.531109571457
