Pe,Qe,Pe_index,Qe_index,current,gradient_norm,stationary,accepted,radius_used,inside_direct_radius,iterations,stopped_reason,status,parent_Pe,parent_Qe,elapsed_seconds
1.0,1.0,10,10,0.037047045470810364,9.995235779357994e-06,False,True,1.1888041482681744,True,100,maximum iterations reached,accepted,,,886.583151102066
0.1,0.1,0,0,0.00033972846138459787,0.00010479527654543453,False,True,1.7441850758905388,True,100,maximum iterations reached,accepted,,,852.8338711261749
0.12589254117941673,0.1,1,0,0.0005642564529958534,8.835655130103006e-05,False,True,1.6062195534524395,True,100,maximum iterations reached,accepted,0.1,0.1,654.1460835933685
0.15848931924611134,0.1,2,0,0.0009341738898454159,9.273428651709898e-05,False,True,1.5571130433790137,True,100,maximum iterations reached,accepted,0.12589254117941673,0.1,759.3837440013885
0.19952623149688797,0.1,3,0,0.0015429750126684026,9.55305867234209e-05,False,True,1.495426396050239,True,100,maximum iterations reached,accepted,0.15848931924611134,0.1,835.302628993988
0.251188643150958,0.1,4,0,0.0025425716078901883,9.771195288086028e-05,False,True,1.4284647556563048,True,100,maximum iterations reached,accepted,0.19952623149688797,0.1,856.306764125824
0.31622776601683794,0.1,5,0,0.004141791812759762,9.05602488694096e-05,False,True,1.3465960633294538,True,100,maximum iterations reached,accepted,0.251188643150958,0.1,858.2021825313568
0.3981071705534973,0.1,6,0,0.006596475970291792,0.0001153685845664452,False,True,1.2933638771727325,True,100,maximum iterations reached,accepted,0.31622776601683794,0.1,852.5467064380646
0.5011872336272724,0.1,7,0,0.010461393379301413,0.0001032956727575336,False,True,1.2570833988738428,True,100,maximum iterations reached,accepted,0.3981071705534973,0.1,852.2586288452148
0.6309573444801934,0.1,8,0,0.01656215954190679,6.684390142864107e-05,False,True,1.2245783312538077,True,100,maximum iterations reached,accepted,0.5011872336272724,0.1,1017.806755065918
0.7943282347242815,0.1,9,0,0.02618807102055965,3.0396619863720728e-05,False,True,1.1860968967804901,True,100,maximum iterations reached,accepted,0.6309573444801934,0.1,879.4957444667816
1.0,0.1,10,0,0.041347764161846594,8.498525813261532e-06,False,True,1.1480622641495428,True,100,maximum iterations reached,accepted,0.7943282347242815,0.1,898.0206394195557
1.2589254117941675,0.1,11,0,0.06514104534181202,8.570956457672619e-07,True,True,1.1041293325746613,True,57,objective tolerance,accepted,1.0,0.1,637.542230129242
1.584893192461114,0.1,12,0,0.10228287291052233,7.107431303254625e-07,True,True,1.036099263933702,True,46,objective tolerance,accepted,1.2589254117941675,0.1,413.65015721321106
1.9952623149688797,0.1,13,0,0.05385184423952228,0.16054949276191582,False,False,1.5000191716496627,True,85,objective tolerance,rejected: outside radius or no improvement,1.584893192461114,0.1,741.1114661693573
2.511886431509581,0.1,14,0,0.08242974831764033,0.24708857966723966,False,False,1.3689604928029402,True,57,objective tolerance,rejected: outside radius or no improvement,1.9952623149688797,0.1,793.3619070053101
